,Rk,Player,School,Conf,G,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_Y/A,Passing_AY/A,Passing_TD,Passing_Int,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD
60,59,Isaiah Green,Marshall,CUSA,10,187,330,56.7,2459,7.5,7.0,15,10,128.2,45,116,2.6,1
61,60,JT Daniels,USC,Pac-12,11,216,363,59.5,2672,7.4,6.9,14,10,128.6,45,-149,-3.3,0
62,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
63,61,Anthony Russo,Temple,American,11,198,345,57.4,2563,7.4,6.4,14,14,125.1,43,63,1.5,3
64,62,Anthony Brown,Boston College,ACC,12,158,285,55.4,2121,7.4,7.4,20,9,134.8,54,85,1.6,1
65,63,Ryan Agnew,San Diego State,MWC,12,115,223,51.6,1651,7.4,7.1,10,6,123.2,62,141,2.3,0
66,64,Dan Ellington,Georgia State,Sun Belt,11,174,292,59.6,2119,7.3,7.3,12,5,130.7,159,625,3.9,5
67,65,Sawyer Smith,Troy,Sun Belt,13,144,229,62.9,1669,7.3,7.3,14,6,139.0,74,191,2.6,1
68,66,Gardner Minshew,Washington State,Pac-12,13,468,662,70.7,4779,7.2,7.8,38,9,147.6,58,119,2.1,4
69,67,Nathan Stanley,Iowa,Big Ten,13,235,396,59.3,2852,7.2,7.4,26,10,136.5,36,4,0.1,1
70,68,Steven Montez,Colorado,Pac-12,12,258,399,64.7,2849,7.1,7.1,19,9,135.8,94,238,2.5,4
71,69,Tyler Wiegers,Eastern Michigan,MAC,12,171,265,64.5,1887,7.1,7.4,11,3,135.8,66,48,0.7,1
72,70,Stephen Calvert,Liberty,Ind,12,240,439,54.7,3068,7.0,6.1,21,18,121.0,30,-146,-4.9,2
73,71,Trace McSorley,Penn State,Big Ten,13,192,361,53.2,2530,7.0,7.1,18,7,124.6,170,798,4.7,12
74,72,Terry Wilson,Kentucky,SEC,13,180,268,67.2,1889,7.0,6.5,11,8,133.9,135,547,4.1,4
75,73,J'mar Smith,Louisiana Tech,CUSA,13,264,461,57.3,3160,6.9,6.5,15,10,121.2,90,159,1.8,3
76,74,Deondre Francois,Florida State,ACC,11,227,396,57.3,2731,6.9,6.3,15,12,121.7,78,16,0.2,3
77,75,Ben Hicks,SMU,American,12,208,372,55.9,2582,6.9,7.1,19,7,127.3,45,-68,-1.5,0
78,76,Gus Ragland,Miami (OH),MAC,12,226,371,60.9,2547,6.9,7.2,17,5,131.0,92,214,2.3,7
79,77,Eli Peters,Toledo,MAC,11,146,265,55.1,1837,6.9,7.1,18,7,130.5,23,44,1.9,0
80,78,Collin Hill,Colorado State,MWC,10,119,202,58.9,1387,6.9,6.0,7,7,121.1,28,-10,-0.4,1
81,79,Daniel Jones,Duke,ACC,11,237,392,60.5,2674,6.8,6.9,22,9,131.7,104,319,3.1,3
82,80,Jarret Doege,Bowling Green State,MAC,12,242,389,62.2,2660,6.8,6.8,27,12,136.4,51,-188,-3.7,2
83,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
84,81,Kato Nelson,Akron,MAC,11,178,342,52.0,2329,6.8,6.6,15,8,119.0,131,303,2.3,1
85,82,Holton Ahlers,East Carolina,American,10,127,263,48.3,1785,6.8,7.2,12,3,118.1,119,592,5.0,6
86,83,Dorian Thompson-Robinson,UCLA,Pac-12,9,112,194,57.7,1311,6.8,6.6,7,4,122.3,50,68,1.4,0
87,84,Nathan Elliott,North Carolina,ACC,10,201,325,61.8,2169,6.7,6.1,11,9,123.5,39,35,0.9,0
88,85,Skylar Thompson,Kansas State,Big 12,11,122,208,58.7,1391,6.7,6.7,9,4,125.3,105,373,3.6,5
89,86,Clayton Thorson,Northwestern,Big Ten,14,299,489,61.1,3183,6.5,5.8,17,15,121.2,78,-110,-1.4,9
90,87,Josh Adkins,New Mexico State,Ind,10,222,393,56.5,2563,6.5,6.2,13,9,117.6,86,117,1.4,0
91,88,Jawon Pass,Louisville,ACC,11,162,300,54.0,1960,6.5,5.3,8,12,109.7,76,93,1.2,2
92,89,AJ Bush,Illinois,Big Ten,10,117,217,53.9,1413,6.5,5.0,6,10,108.5,138,733,5.3,8
93,90,Peyton Ramsey,Indiana,Big Ten,12,295,447,66.0,2875,6.4,6.0,19,13,128.2,111,354,3.2,5
94,91,Kenny Pickett,Pitt,ACC,14,180,310,58.1,1969,6.4,6.3,12,6,120.3,117,220,1.9,3
95,92,Nick Fitzgerald,Mississippi State,SEC,12,145,281,51.6,1767,6.3,6.0,16,9,116.8,221,1121,5.1,13
96,93,Ty Storey,Arkansas,SEC,10,143,250,57.2,1584,6.3,5.4,11,10,116.9,67,146,2.2,1
97,94,David Pindell,Connecticut,American,12,186,314,59.2,1962,6.2,5.6,19,13,123.4,212,1139,5.4,10
98,95,Max Gilliam,UNLV,MWC,9,125,226,55.3,1394,6.2,5.8,14,8,120.5,51,-4,-0.1,1
99,96,Shawn Stankavage,Rice,CUSA,10,124,219,56.6,1328,6.1,4.9,10,10,113.5,44,47,1.1,0
100,97,Tyler Vitt,Texas State,Sun Belt,9,116,191,60.7,1159,6.1,4.4,7,10,113.3,81,237,2.9,2
101,98,Woody Barrett,Kent State,MAC,12,229,390,58.7,2339,6.0,5.5,11,9,113.8,163,503,3.1,7
102,99,Brian Lewerke,Michigan State,Big Ten,11,184,339,54.3,2040,6.0,5.0,8,11,106.1,90,184,2.0,2
103,100,Peyton Bender,Kansas,Big 12,11,183,321,57.0,1894,5.9,6.3,13,3,118.1,35,-156,-4.5,0
104,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
105,101,Chase Garbers,California,Pac-12,11,159,260,61.2,1506,5.8,5.1,14,10,119.9,98,420,4.3,2
106,102,Riley Neal,Ball State,MAC,9,194,335,57.9,1917,5.7,5.8,11,4,114.4,86,357,4.2,5
